epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,31.1095,3.51987,0.36419,0.70675,2.52259,5.94558e-05,5.94558e-05,5.94558e-05
2,65.0597,1.96002,0.7474,0.91955,1.05984,0.000117943,0.000117943,0.000117943
3,100.774,0.88503,0.91349,0.98616,0.35962,0.000175249,0.000175249,0.000175249
4,129.842,0.4542,0.9481,0.99567,0.17899,0.000173684,0.000173684,0.000173684
5,159.179,0.3129,0.96194,0.99654,0.13116,0.000171912,0.000171912,0.000171912
6,188.927,0.24728,0.97405,0.99913,0.08787,0.000170139,0.000170139,0.000170139
7,219.199,0.20333,0.97924,0.99913,0.07096,0.000168367,0.000168367,0.000168367
8,252.397,0.17854,0.97578,0.99913,0.06861,0.000166595,0.000166595,0.000166595
9,284.702,0.1666,0.97924,0.99827,0.06408,0.000164823,0.000164823,0.000164823
10,314.588,0.14941,0.9801,0.99913,0.06197,0.000163051,0.000163051,0.000163051
11,349.906,0.14591,0.98097,0.99913,0.0515,0.000161279,0.000161279,0.000161279
12,388.32,0.13631,0.98183,0.9974,0.05335,0.000159507,0.000159507,0.000159507
13,417.987,0.13117,0.9827,0.99913,0.04952,0.000157735,0.000157735,0.000157735
14,449.26,0.11686,0.9827,0.9974,0.04834,0.000155963,0.000155963,0.000155963
15,479.504,0.12221,0.98183,0.99913,0.05032,0.000154191,0.000154191,0.000154191
16,509.317,0.10695,0.98616,0.99913,0.04121,0.000152418,0.000152418,0.000152418
17,539.638,0.11415,0.9827,0.99913,0.04715,0.000150646,0.000150646,0.000150646
18,569.447,0.11854,0.98097,0.99913,0.05633,0.000148874,0.000148874,0.000148874
19,599.42,0.09518,0.97924,0.9974,0.04664,0.000147102,0.000147102,0.000147102
20,631.92,0.09677,0.98356,0.9974,0.04229,0.00014533,0.00014533,0.00014533
21,662.967,0.09621,0.98443,0.99913,0.03817,0.000143558,0.000143558,0.000143558
22,692.023,0.08244,0.98789,0.99913,0.03963,0.000141786,0.000141786,0.000141786
23,728.639,0.08967,0.98356,0.9974,0.04043,0.000140014,0.000140014,0.000140014
24,767.591,0.09111,0.99135,0.9974,0.04036,0.000138242,0.000138242,0.000138242
25,800.204,0.08496,0.98702,0.99913,0.03805,0.00013647,0.00013647,0.00013647
26,837.391,0.0841,0.98529,0.99913,0.04436,0.000134697,0.000134697,0.000134697
27,868.121,0.08443,0.98875,0.99913,0.03853,0.000132925,0.000132925,0.000132925
28,897.204,0.08194,0.98356,0.99913,0.04154,0.000131153,0.000131153,0.000131153
29,926.387,0.07663,0.98702,0.9974,0.03585,0.000129381,0.000129381,0.000129381
30,955.956,0.07611,0.98789,0.99913,0.03648,0.000127609,0.000127609,0.000127609
31,989.403,0.0774,0.98702,0.9974,0.03701,0.000125837,0.000125837,0.000125837
32,1027.08,0.07968,0.9827,0.9974,0.04617,0.000124065,0.000124065,0.000124065
